Course Code,Course Title,Total Credit Hours
CSC 110,Computing Fundamentals,3
CSC 113,Computer Programming,4
GSC 110,Applied Calculus & Analytical Geometry,3
ENG 105,Functional English,3
GSC 114,Applied Physics,3
GSC 221,Discrete Mathematics,3
CSC 210,Object Oriented Programming,4
SEN 120,Introduction to Software Engineering,3
HSS 120,Communication Skills,3
ISL 101,Islamic Studies/Ethics,2
CEN 122,Digital Design,3
CSC 221,Data Structures & Algorithms,4
SEN 211,Software Requirement Engineering,3
SEN 212,Human Computer Interaction,3
GSC 121,Linear Algebra,3
CEN 221,Supporting Elective - I,4
CSC 320,Operating Systems,4
GSC 122,Probability & Statistics,3
CSC 220,Database Management Systems,4
SEN 221,Software Design & Architecture,3
SEN 328,Game Application Development,3
HSS 320,Technical Writing & Presentation Skills,3
CEN 222,Data Communication & Networking,4
SEN 311,Software Construction,3
HSS-456,Organizational Behavior,3
ECO-457,Economics,3
PAK 101,Pakistan Studies,2
SEN 310,Web Engineering,3
SEN 321,Software Quality Engineering,3
CSC 407,Information Security,3
SEN 459,Mobile and Pervasive Computing,3
CSC 452,Data Mining,3
PSY-101 ,Introduction to Psychology ,3
ESC 498,Project I,3
SEN 410,Software Project Management,3
HSS 422,Engineering Ethics,3
SEN 411,Software Re-Engineering,3
HSS-461,Accounting & Finance,3
ESC 499,Project II,3
HSS-453,Human Resource Management,3
SEN 326,Advanced Database Management Systems,3
SEN 450,Design Pattern,3
HSS-115 ,Introduction to Media Studies ,3
CSC 313,Visual Programming,3
SEN 448,Software Applications For Mobile Devices,3
CSC 445,Principles of Programming Languages,3
SEN 421,Semantic Web,3
SEN 324,Software Metrics & Estimation,3
SEN 440,Software Engineering Economics,3
SEN 441,Mathematical Tools For Software Engineering,3
SEN 452,Agile Development,3
SEN 456,Usability Engineering,3
CSC 411,Artificial Intelligence,3
SEN 443,Introduction to Soft Computing,3
CSC 441,Natural Language Processing,3
SEN 331,Scientific Computing,3
SEN 330,Agent Based Computing,3
SEN 325,Cloud Computing,3
CSC 456,Distributed Computing,3
CEN 451,Data Encryption & Security,3
SEN 460,IoT Application Development,3
CSC 454,Data Warehousing,3
CSC 487,Introduction to Data Science,3
SEN 332,Big Data Analytics,3
CSC 458,Management Information Systems,3
SEN 455,Knowledge Based Management Systems,3
SEN 453,Information System Audit,3
SEN 327,Distributed Database Systems,3
CSC 444,Computer Graphics,3
SEN 329,Digital Animation,3
SEN 493,Multimedia Systems,3
CEN 445,Digital Image Processing,3
CSC 464,Computer Vision,3
HSS-452,English Literature,3
HSS-459,"Foreign Language (Arabic, French, etc.)",3
MGT-111,Principles of Management,3
HSS-421 ,Entrepreneurship & Leadership ,3
HSS-202 ,Introduction to Sociology ,3
HSS-111 ,Introduction to International Relations ,3
HSS-201 ,Introduction to Anthropology ,3
